Student_ID,School,Grade_Level,Gender,Subject,Teacher,Attendance_Rate,Homework_Score,Midterm_Score,Final_Exam_Score,Overall_Score
S1048,Lakeside School,JSS2,Male,Economics,Mrs. Hassan,86.8,88.9,88.9,96.7,92.8
S1049,Lakeside School,JSS3,Female,Physics,Mr. Ade,91.9,96.2,80.8,66.2,76.6
S1050,Greenfield Academy,JSS3,Female,Economics,Mr. Ade,97.3,70.8,96.5,87.3,86.8
S1051,Lakeside School,SS2,Male,Biology,Mrs. Okeke,60.8,97.0,61.6,68.3,72.0
S1052,Greenfield Academy,SS1,Male,Biology,Mrs. Mensah,66.2,72.1,78.0,32.9,54.3
S1053,Hilltop College,JSS3,Male,Economics,Mr. Yusuf,95.4,63.7,65.2,52.1,58.4
S1054,Greenfield Academy,SS3,Female,English,Mr. Bello,78.3,90.9,76.0,70.3,76.1
S1055,Hilltop College,JSS2,Male,English,Mrs. Mensah,82.6,69.6,64.2,96.5,81.4
S1056,Hilltop College,SS3,Male,Economics,Mr. Bello,86.5,68.3,47.3,90.1,72.9
S1057,Northview High,SS3,Male,Physics,Mrs. Okeke,87.2,69.4,68.0,46.0,57.3
S1058,Greenfield Academy,JSS2,Female,Chemistry,Mrs. Okeke,97.3,90.8,69.4,45.4,61.7
S1059,Northview High,SS3,Female,English,Mrs. Hassan,99.9,89.9,87.7,44.1,66.3
S1060,Greenfield Academy,JSS3,Male,Mathematics,Mrs. Okeke,88.8,64.2,82.8,94.6,85.0
S1061,Greenfield Academy,SS1,Male,Biology,Mrs. Okeke,71.5,60.0,78.1,89.7,80.3
S1062,Northview High,JSS2,Female,Economics,Mr. Bello,95.2,69.5,42.4,84.2,68.7
S1063,Northview High,SS2,Female,Mathematics,Mrs. Hassan,62.0,74.4,81.8,57.5,68.2
S1064,Greenfield Academy,SS3,Female,Economics,Mrs. Okeke,69.2,54.3,67.5,65.3,63.8
S1065,Lakeside School,JSS2,Female,Biology,Mrs. Mensah,95.9,87.6,93.1,62.5,76.7
S1066,Hilltop College,JSS1,Female,Biology,Mrs. Okeke,70.2,69.2,94.8,47.7,66.1
S1067,Northview High,JSS1,Female,English,Mrs. Hassan,68.8,60.0,38.6,65.4,56.3
S1068,Hilltop College,SS1,Female,English,Mr. Yusuf,65.5,46.4,88.3,32.1,51.8
S1069,Lakeside School,JSS3,Female,Mathematics,Mrs. Hassan,94.4,54.3,37.5,39.2,41.7
S1070,Lakeside School,SS1,Female,Economics,Mr. Bello,80.0,97.0,58.9,92.1,83.1
S1071,Lakeside School,SS1,Male,Biology,Mr. Yusuf,87.0,58.3,70.2,82.6,74.0
S1072,Northview High,SS1,Male,Mathematics,Mrs. Mensah,69.6,50.1,44.6,59.6,53.2
S1073,Lakeside School,SS1,Male,Chemistry,Mr. Ade,90.3,67.6,83.5,66.2,71.7
S1074,Northview High,SS2,Female,Mathematics,Mrs. Hassan,90.4,58.4,35.5,55.9,50.3
S1075,Lakeside School,SS2,Male,Physics,Mr. Bello,72.5,42.1,46.0,81.9,63.2
S1076,Hilltop College,JSS2,Female,Mathematics,Mrs. Mensah,76.4,59.4,72.8,84.9,76.2
S1077,Hilltop College,JSS1,Female,Physics,Mr. Yusuf,68.4,72.6,81.4,83.4,80.6
S1078,Greenfield Academy,SS1,Male,Physics,Mrs. Mensah,99.1,73.1,94.6,80.6,83.3
S1079,Hilltop College,JSS2,Female,Physics,Mrs. Hassan,85.8,61.4,80.9,44.3,58.7
S1080,Greenfield Academy,JSS1,Male,Chemistry,Mrs. Okeke,97.4,66.8,78.7,53.7,63.8
S1081,Hilltop College,SS3,Male,Mathematics,Mrs. Hassan,72.1,97.9,60.6,62.9,69.2
S1082,Northview High,JSS3,Male,Mathematics,Mr. Ade,91.3,62.6,35.1,53.2,49.7
S1083,Hilltop College,SS2,Female,Chemistry,Mrs. Hassan,90.6,55.5,42.8,82.8,65.3
S1084,Greenfield Academy,SS3,Male,Biology,Mr. Yusuf,87.7,54.6,69.7,53.1,58.4
S1085,Greenfield Academy,JSS1,Female,English,Mr. Yusuf,98.6,67.5,78.9,39.7,57.0
S1086,Lakeside School,SS3,Male,Mathematics,Mrs. Hassan,75.7,85.6,62.1,57.9,64.7
S1087,Northview High,JSS3,Male,English,Mr. Yusuf,65.2,52.4,82.5,98.6,84.5
S1088,Hilltop College,JSS1,Male,Economics,Mrs. Okeke,86.9,82.6,68.9,45.8,60.1
S1089,Lakeside School,SS3,Female,Economics,Mrs. Mensah,89.2,41.3,39.8,72.9,56.6
S1090,Hilltop College,SS2,Female,Chemistry,Mrs. Hassan,83.0,65.1,47.5,60.3,57.4
S1091,Hilltop College,SS2,Female,Economics,Mrs. Okeke,68.3,86.6,89.6,35.0,61.7
S1092,Lakeside School,JSS2,Male,Economics,Mrs. Mensah,80.2,60.3,82.1,64.2,68.8
S1093,Lakeside School,SS3,Male,Biology,Mrs. Mensah,72.5,73.8,93.2,79.2,82.3
S1094,Lakeside School,SS1,Female,Biology,Mrs. Okeke,77.1,52.3,42.6,65.9,56.2
S1095,Lakeside School,SS3,Female,Biology,Mr. Bello,85.8,84.5,99.4,91.0,92.2
S1096,Lakeside School,JSS1,Female,Economics,Mrs. Hassan,89.8,43.1,48.6,50.2,48.3
S1097,Hilltop College,JSS1,Female,Chemistry,Mrs. Mensah,69.3,91.2,35.8,36.0,47.0
S1098,Lakeside School,SS3,Female,Physics,Mrs. Mensah,76.2,51.9,99.8,95.6,88.1
S1099,Northview High,JSS3,Female,Physics,Mr. Yusuf,70.8,92.5,53.3,56.5,62.7
S1100,Greenfield Academy,SS2,Male,English,Mrs. Mensah,67.9,61.2,78.4,70.3,70.9
S1101,Lakeside School,JSS1,Female,Physics,Mrs. Okeke,91.3,83.4,46.5,85.4,73.3
S1102,Lakeside School,SS2,Male,Physics,Mrs. Mensah,96.4,59.2,72.7,52.7,60.0
S1103,Hilltop College,JSS1,Male,Biology,Mr. Bello,74.8,94.4,93.8,80.1,87.1
S1104,Lakeside School,JSS2,Female,Biology,Mrs. Hassan,90.1,47.6,55.8,39.5,46.0
S1105,Lakeside School,SS1,Female,Economics,Mrs. Hassan,95.9,50.7,78.6,50.4,58.9
S1106,Lakeside School,JSS1,Male,English,Mrs. Mensah,93.8,69.6,47.2,40.1,48.1
S1107,Hilltop College,SS2,Female,Mathematics,Mr. Ade,67.3,44.9,75.6,86.8,75.1
S1108,Lakeside School,JSS2,Female,English,Mr. Ade,98.3,51.8,56.9,45.6,50.2
S1109,Greenfield Academy,JSS1,Male,English,Mrs. Okeke,75.1,96.6,48.7,80.2,74.0
S1110,Hilltop College,JSS3,Male,Chemistry,Mr. Ade,73.6,98.6,55.4,96.0,84.3
S1111,Greenfield Academy,SS1,Male,Economics,Mrs. Okeke,62.5,62.6,46.6,66.9,60.0
S1112,Hilltop College,JSS1,Female,Chemistry,Mr. Yusuf,79.4,95.4,93.6,67.8,81.1
S1113,Lakeside School,JSS2,Male,English,Mrs. Okeke,64.4,72.7,60.8,62.3,63.9
S1114,Greenfield Academy,JSS3,Female,English,Mr. Ade,69.9,56.2,50.9,52.8,52.9
S1115,Hilltop College,SS3,Male,English,Mrs. Mensah,72.7,82.1,64.1,63.3,67.3
S1116,Northview High,JSS2,Male,Physics,Mr. Yusuf,92.4,79.5,55.8,72.2,68.7
S1117,Lakeside School,JSS2,Male,Chemistry,Mr. Ade,95.0,99.3,83.4,99.0,94.4
S1118,Hilltop College,JSS3,Female,English,Mrs. Okeke,72.1,55.9,98.1,95.6,88.4
S1119,Northview High,JSS2,Female,Biology,Mr. Bello,94.3,80.3,63.5,90.4,80.3
S1120,Hilltop College,JSS3,Male,Economics,Mrs. Hassan,94.3,43.1,91.0,92.2,82.0
S1121,Northview High,JSS1,Male,Economics,Mr. Ade,90.6,46.8,71.8,62.7,62.2
S1122,Lakeside School,JSS3,Male,Biology,Mrs. Okeke,65.9,40.2,45.2,76.0,59.6
S1123,Greenfield Academy,JSS3,Female,Economics,Mr. Yusuf,87.6,100.0,79.9,92.7,90.3
S1124,Northview High,SS1,Male,Physics,Mr. Ade,97.8,88.1,68.4,57.5,66.9
S1125,Hilltop College,JSS3,Female,Physics,Mr. Ade,87.3,87.2,77.3,97.3,89.3
S1126,Lakeside School,JSS3,Male,Mathematics,Mrs. Hassan,73.3,70.6,92.8,59.1,71.5
S1127,Northview High,SS3,Male,Mathematics,Mrs. Okeke,80.0,58.0,63.6,72.1,66.7
S1128,Hilltop College,JSS1,Male,Mathematics,Mr. Bello,85.8,49.1,93.6,79.7,77.8
S1129,Hilltop College,SS1,Male,Economics,Mr. Yusuf,80.4,57.1,83.8,96.5,84.8
S1130,Hilltop College,SS3,Male,Physics,Mrs. Okeke,64.8,62.6,66.8,47.1,56.1
S1131,Northview High,SS2,Male,Physics,Mr. Yusuf,72.5,85.4,74.2,82.2,80.4
S1132,Northview High,JSS1,Female,Physics,Mr. Ade,92.1,72.4,56.2,66.5,64.6
S1133,Northview High,JSS1,Male,Biology,Mrs. Hassan,94.5,44.6,98.9,48.8,63.0
S1134,Greenfield Academy,SS2,Female,Physics,Mrs. Hassan,65.5,41.1,78.4,84.4,73.9
S1135,Northview High,JSS3,Male,Biology,Mrs. Mensah,98.1,46.1,37.9,68.7,54.9
S1136,Northview High,SS3,Male,Mathematics,Mr. Bello,73.2,64.6,56.2,76.3,67.9
S1137,Northview High,JSS2,Female,Mathematics,Mrs. Hassan,86.5,96.0,75.5,52.6,68.2
S1138,Greenfield Academy,SS1,Male,Economics,Mr. Ade,90.1,78.2,38.7,63.7,59.1
S1139,Northview High,JSS2,Female,Mathematics,Mr. Bello,92.5,88.1,36.6,73.2,65.2
S1140,Hilltop College,SS2,Female,Economics,Mrs. Okeke,97.8,68.0,64.3,58.3,62.0
S1141,Northview High,JSS1,Male,English,Mrs. Hassan,72.5,61.7,56.6,43.9,51.3
S1142,Hilltop College,JSS1,Female,English,Mr. Bello,94.3,46.5,63.5,97.3,77.0
S1143,Hilltop College,SS1,Female,Chemistry,Mr. Ade,65.3,92.6,52.1,65.8,67.0
S1144,Hilltop College,JSS1,Male,Economics,Mrs. Mensah,88.2,87.0,45.7,81.4,71.8
S1145,Greenfield Academy,JSS1,Female,Chemistry,Mr. Yusuf,89.7,50.1,79.8,58.8,63.4
S1146,Greenfield Academy,SS1,Male,Chemistry,Mr. Yusuf,87.1,70.7,68.4,54.9,62.1
S1147,Greenfield Academy,SS3,Male,English,Mr. Ade,70.1,69.2,48.0,58.5,57.5
S1148,Northview High,SS3,Male,Economics,Mr. Ade,94.9,77.5,55.8,58.6,61.5
S1149,Hilltop College,SS1,Male,English,Mr. Yusuf,66.8,96.8,73.5,68.1,75.5
S1150,Greenfield Academy,SS2,Female,Chemistry,Mrs. Mensah,62.1,74.8,39.7,68.0,60.9
S1151,Greenfield Academy,JSS1,Male,Economics,Mr. Bello,88.7,72.4,44.6,64.8,60.3
S1152,Northview High,JSS1,Male,Chemistry,Mr. Yusuf,79.0,43.0,39.8,39.4,40.2
S1153,Greenfield Academy,SS2,Female,Physics,Mr. Ade,94.0,43.8,87.8,64.7,67.4
S1154,Northview High,SS3,Male,Economics,Mrs. Hassan,75.3,51.2,83.9,41.8,56.3
S1155,Lakeside School,JSS3,Male,Economics,Mrs. Okeke,66.7,41.9,84.0,38.8,53.0
S1156,Greenfield Academy,JSS3,Female,Chemistry,Mrs. Mensah,93.5,84.6,81.6,95.3,89.0
S1157,Lakeside School,JSS3,Female,Physics,Mrs. Mensah,82.0,83.4,78.5,72.3,76.4
S1158,Northview High,SS3,Female,Biology,Mrs. Hassan,67.6,48.2,66.0,76.2,67.5
S1159,Hilltop College,SS3,Female,English,Mrs. Hassan,88.8,90.2,76.7,58.1,70.1
S1160,Greenfield Academy,SS2,Female,Chemistry,Mr. Ade,80.4,49.3,37.5,93.6,67.9
S1161,Northview High,JSS1,Female,Economics,Mr. Yusuf,84.2,58.1,75.4,74.7,71.6
S1162,Hilltop College,SS2,Female,English,Mr. Bello,78.4,54.9,85.6,83.8,78.6
S1163,Hilltop College,SS2,Male,English,Mrs. Mensah,93.1,62.3,67.5,55.8,60.6
S1164,Lakeside School,SS3,Female,English,Mrs. Mensah,93.2,55.3,58.2,97.2,77.1
S1165,Northview High,JSS3,Female,Biology,Mrs. Hassan,88.4,69.3,53.0,87.4,73.5
S1166,Hilltop College,JSS2,Female,Mathematics,Mr. Yusuf,64.2,64.4,76.8,89.8,80.8
S1167,Greenfield Academy,JSS1,Male,Chemistry,Mrs. Mensah,93.6,99.2,80.0,42.1,64.9
S1168,Greenfield Academy,SS3,Male,Mathematics,Mr. Bello,86.8,43.4,91.6,49.0,60.7
S1169,Lakeside School,JSS3,Female,Mathematics,Mrs. Hassan,87.9,48.5,57.3,50.0,51.9
S1170,Hilltop College,JSS2,Female,Mathematics,Mr. Bello,74.5,43.2,85.0,49.0,58.6
S1171,Northview High,JSS2,Female,English,Mr. Yusuf,95.2,77.6,71.5,89.9,81.9
S1172,Greenfield Academy,SS3,Male,Physics,Mrs. Mensah,89.0,43.3,92.4,32.2,52.5
S1173,Hilltop College,SS1,Male,English,Mrs. Okeke,64.5,90.2,69.3,35.3,56.5
S1174,Hilltop College,JSS1,Female,English,Mrs. Mensah,76.3,70.7,68.6,49.2,59.3
S1175,Lakeside School,JSS2,Male,Economics,Mr. Yusuf,95.5,71.6,72.6,44.0,58.1
S1176,Greenfield Academy,SS3,Female,Economics,Mrs. Mensah,61.9,73.7,83.7,46.2,63.0
S1177,Greenfield Academy,SS3,Male,Mathematics,Mrs. Mensah,98.5,50.2,97.7,85.9,82.3
S1178,Northview High,JSS3,Male,English,Mr. Ade,87.2,51.9,39.8,69.4,57.0
S1179,Greenfield Academy,SS1,Female,Mathematics,Mrs. Mensah,85.3,59.1,38.5,30.4,38.6
S1180,Northview High,JSS1,Female,Economics,Mrs. Mensah,70.8,75.6,95.9,60.1,73.9
S1181,Greenfield Academy,SS2,Female,Physics,Mr. Bello,70.0,52.6,69.4,58.6,60.6
S1182,Lakeside School,JSS3,Female,Chemistry,Mrs. Okeke,97.7,47.0,75.0,38.0,50.9
S1183,Greenfield Academy,JSS2,Male,Mathematics,Mr. Bello,71.9,98.2,66.4,77.3,78.2
S1184,Northview High,JSS2,Male,Physics,Mr. Bello,91.0,41.3,41.1,79.1,60.1
S1185,Northview High,JSS3,Male,Chemistry,Mrs. Hassan,75.7,88.2,84.9,80.5,83.4
S1186,Lakeside School,SS3,Female,Biology,Mr. Ade,65.6,87.3,83.6,81.0,83.0
S1187,Greenfield Academy,JSS2,Male,Mathematics,Mr. Bello,60.4,57.8,55.3,30.0,43.2
S1188,Greenfield Academy,SS1,Female,Mathematics,Mr. Yusuf,81.8,48.1,54.9,96.8,74.5
S1189,Lakeside School,JSS1,Male,Biology,Mr. Yusuf,99.0,48.7,89.5,87.0,80.1
S1190,Greenfield Academy,SS1,Female,Biology,Mrs. Mensah,74.8,81.8,39.7,93.3,74.9
S1191,Greenfield Academy,JSS2,Female,Mathematics,Mrs. Hassan,74.3,78.6,92.3,31.1,59.0
S1192,Northview High,SS2,Male,Biology,Mr. Ade,73.8,87.0,51.7,95.4,80.6
S1193,Greenfield Academy,JSS1,Female,English,Mr. Ade,80.8,96.2,73.5,86.7,84.6
S1194,Greenfield Academy,JSS1,Female,Chemistry,Mrs. Mensah,77.6,81.5,95.8,88.6,89.3
S1195,Lakeside School,JSS3,Male,Chemistry,Mr. Yusuf,95.2,49.4,79.1,36.5,51.9
S1196,Lakeside School,JSS3,Female,Chemistry,Mrs. Okeke,80.2,54.6,61.9,81.7,70.3
S1197,Hilltop College,SS2,Female,English,Mrs. Hassan,80.3,90.5,79.8,97.2,90.6
S1198,Northview High,SS3,Female,Biology,Mrs. Mensah,65.5,52.6,57.4,77.5,66.5
S1199,Greenfield Academy,JSS1,Male,Physics,Mrs. Hassan,99.3,44.4,53.0,69.9,59.7
S1200,Greenfield Academy,SS2,Male,Biology,Mr. Yusuf,70.0,82.2,99.8,96.2,94.5
S1201,Hilltop College,JSS3,Female,Mathematics,Mr. Yusuf,62.9,64.2,83.8,61.0,68.5
S1202,Greenfield Academy,JSS3,Male,Economics,Mrs. Okeke,86.5,95.2,76.9,72.0,78.1
S1203,Northview High,JSS1,Female,Chemistry,Mrs. Okeke,83.8,79.0,58.1,63.3,64.9
S1204,Hilltop College,SS1,Female,Biology,Mr. Ade,76.6,45.4,38.2,95.3,68.2
S1205,Northview High,JSS2,Female,Physics,Mrs. Hassan,76.9,96.9,37.0,35.3,48.1
S1206,Hilltop College,JSS3,Female,Mathematics,Mrs. Hassan,91.4,55.5,71.0,65.1,65.0
S1207,Hilltop College,SS3,Female,English,Mr. Yusuf,67.8,60.2,84.5,78.1,76.4
S1208,Lakeside School,SS3,Male,English,Mr. Ade,92.8,64.1,69.9,85.4,76.5
S1209,Northview High,JSS3,Female,Physics,Mrs. Mensah,85.9,43.1,89.7,70.8,70.9
S1210,Greenfield Academy,SS1,Male,Mathematics,Mrs. Hassan,76.8,69.8,37.2,93.6,71.9
S1211,Greenfield Academy,SS1,Male,Chemistry,Mr. Ade,78.3,47.4,58.8,95.9,75.1
S1212,Northview High,SS2,Female,Biology,Mr. Ade,70.3,64.1,50.4,34.5,45.2
S1213,Greenfield Academy,SS3,Female,Mathematics,Mr. Yusuf,90.1,61.0,64.1,58.2,60.5
S1214,Greenfield Academy,SS2,Male,English,Mr. Ade,80.5,86.4,39.7,31.6,45.0
S1215,Northview High,SS3,Male,Physics,Mrs. Okeke,72.8,88.2,97.0,53.1,73.3
S1216,Hilltop College,JSS2,Male,Physics,Mrs. Okeke,83.8,49.2,49.5,67.6,58.5
S1217,Northview High,JSS2,Female,Biology,Mr. Bello,99.8,62.0,95.0,93.8,87.8
S1218,Hilltop College,JSS1,Male,Physics,Mr. Yusuf,77.4,62.4,62.7,89.3,75.9
S1219,Greenfield Academy,SS2,Female,Physics,Mrs. Mensah,96.8,49.1,99.1,38.9,59.0
S1220,Greenfield Academy,JSS3,Female,Mathematics,Mr. Bello,73.8,87.9,71.0,36.5,57.1
S1221,Greenfield Academy,SS2,Female,Chemistry,Mrs. Okeke,62.2,82.4,95.5,71.2,80.7
S1222,Lakeside School,JSS3,Male,Biology,Mr. Bello,68.2,51.4,35.3,67.2,54.5
S1223,Hilltop College,SS1,Female,Mathematics,Mr. Yusuf,76.7,62.0,83.6,48.6,61.8
S1224,Lakeside School,SS2,Female,Chemistry,Mr. Yusuf,68.8,46.3,93.7,93.0,83.9
S1225,Lakeside School,SS1,Female,Mathematics,Mr. Ade,60.0,77.7,44.1,94.9,76.2
S1226,Northview High,JSS2,Female,Economics,Mrs. Hassan,96.6,47.3,41.2,58.2,50.9
S1227,Lakeside School,JSS2,Female,Mathematics,Mr. Ade,93.8,99.2,62.6,92.3,84.8
S1228,Northview High,JSS1,Male,Physics,Mr. Yusuf,89.7,86.8,95.7,56.9,74.5
S1229,Northview High,SS2,Female,Chemistry,Mrs. Okeke,66.7,63.4,70.3,81.6,74.6
S1230,Lakeside School,SS1,Female,Biology,Mrs. Mensah,64.8,74.7,69.3,63.3,67.4
S1231,Hilltop College,JSS3,Male,Biology,Mrs. Okeke,62.7,94.7,44.2,38.6,51.5
S1232,Hilltop College,JSS2,Female,Chemistry,Mr. Ade,89.0,73.2,35.1,95.0,72.7
S1233,Hilltop College,JSS2,Male,Physics,Mrs. Mensah,97.2,50.5,87.7,61.8,67.3
S1234,Hilltop College,JSS3,Female,English,Mr. Yusuf,77.2,62.7,40.7,81.4,65.4
S1235,Hilltop College,SS1,Male,Mathematics,Mrs. Okeke,64.8,90.6,76.2,55.7,68.8
S1236,Lakeside School,SS1,Male,Physics,Mr. Yusuf,80.5,78.7,94.5,31.3,59.7
S1237,Lakeside School,SS2,Female,Economics,Mrs. Mensah,74.0,79.0,48.6,37.0,48.9
S1238,Greenfield Academy,SS2,Female,Chemistry,Mrs. Mensah,75.0,92.0,78.2,64.7,74.2
S1239,Hilltop College,SS3,Female,Mathematics,Mrs. Okeke,84.9,93.6,40.1,78.3,69.9
S1240,Lakeside School,SS3,Male,Biology,Mr. Yusuf,88.7,95.2,74.2,53.4,68.0
S1241,Greenfield Academy,JSS1,Male,English,Mr. Bello,64.4,45.7,45.7,78.7,62.2
S1242,Hilltop College,JSS2,Male,Economics,Mr. Yusuf,61.4,72.6,82.8,78.9,78.8
S1243,Northview High,SS2,Female,Biology,Mrs. Mensah,99.8,84.4,54.6,79.3,72.9
S1244,Greenfield Academy,SS1,Male,Chemistry,Mr. Yusuf,69.3,85.4,65.1,64.5,68.9
S1245,Lakeside School,JSS3,Male,Mathematics,Mr. Ade,62.2,76.4,74.0,94.0,84.5
S1246,Northview High,SS1,Female,Chemistry,Mr. Bello,67.6,50.0,46.1,64.2,55.9
S1247,Northview High,JSS2,Male,Mathematics,Mrs. Hassan,61.6,87.8,83.2,61.5,73.3
S1248,Northview High,SS3,Male,Physics,Mr. Ade,75.7,83.2,54.7,44.0,55.0
S1249,Greenfield Academy,SS1,Female,English,Mrs. Hassan,92.1,45.2,78.1,51.5,58.2
S1250,Lakeside School,JSS1,Male,Physics,Mrs. Okeke,73.6,67.8,45.3,33.0,43.6
S1251,Northview High,JSS2,Female,Physics,Mrs. Hassan,77.8,50.4,79.7,74.3,71.1
S1252,Hilltop College,SS3,Female,Chemistry,Mr. Yusuf,87.0,60.2,43.3,47.4,48.7
S1253,Northview High,JSS3,Female,English,Mrs. Hassan,80.4,41.1,62.6,51.3,52.6
S1254,Northview High,SS3,Female,Mathematics,Mrs. Mensah,94.5,64.0,51.1,84.0,70.1
S1255,Greenfield Academy,JSS1,Female,Mathematics,Mr. Ade,94.6,73.0,83.6,52.9,66.1
S1256,Greenfield Academy,JSS2,Male,Economics,Mr. Ade,60.4,77.2,52.0,47.0,54.5
S1257,Lakeside School,JSS3,Male,Biology,Mrs. Hassan,91.1,79.8,92.3,41.8,64.6
S1258,Hilltop College,JSS1,Female,Economics,Mr. Ade,78.4,90.2,93.0,84.2,88.0
S1259,Greenfield Academy,SS3,Female,Economics,Mrs. Mensah,99.6,52.9,47.8,39.1,44.5
S1260,Northview High,JSS1,Male,Mathematics,Mr. Ade,79.3,47.2,74.9,61.8,62.8
S1261,Lakeside School,JSS2,Female,Chemistry,Mrs. Hassan,99.5,91.1,40.7,65.5,63.2
S1262,Northview High,SS2,Female,Physics,Mr. Bello,90.2,49.4,60.4,78.1,67.0
S1263,Northview High,JSS1,Female,Physics,Mr. Bello,69.9,98.5,81.4,74.3,81.3
